,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
78,82315,-38.000772,145.250801,6 Ferguson Street,EUMEMMERRING,3105000,house,2014,3,1,2,SC_077,538,19885,2518,58,0,hospital_119,3291,S_212,1376
79,75638,-37.903574,145.102529,110 Burlington Street,OAKLEIGH,13216000,house,2015,2,1,2,SC_087,2496,19916,829,35,0,hospital_166,568,S_026,2426
80,54273,-37.8216014,145.0441453,22 Malmsbury Street,HAWTHORN,14850000,house,2011,4,1,2,SC_083,763,19903,174,22,0,hospital_127,914,S_208,785
81,58393,-37.828467,145.14928,93 Main Street,BLACKBURN,10800000,house,2011,3,2,1,SC_002,2198,19898,937,35,0,hospital_060,779,S_018,371
82,73296,-37.860502,145.298096,22 Moncoe Street,BORONIA,10192000,house,2016,2,1,1,SC_049,3878,19869,1205,53,0,hospital_049,1372,S_146,1076
83,82396,-37.99385,145.23793,74 Power Road,DOVETON,3575000,house,2015,3,2,0,SC_077,1556,19888,2512,53,0,hospital_119,1926,S_184,2021
84,82894,-37.906419,145.266689,8 Baringa Court,ROWVILLE,5808000,house,2014,4,3,2,SC_049,3886,19868,3724,55,0,hospital_150,4178,S_199,2830
85,79698,-37.9974622,145.1705016,15 Fenton Court,KEYSBOROUGH,7174000,house,2011,3,1,1,SC_057,583,19889,2828,50,0,hospital_096,429,S_079,518
86,52804,-37.82711,144.992841,25 Cubitt Street,CREMORNE,12410000,house,2009,2,1,0,SC_038,2020,19907,380,6,0,hospital_146,1045,S_076,1964
87,22181,-37.739671,144.96189,19 Service Street,COBURG,7735000,house,2012,3,2,1,SC_030,1314,19965,324,28,0,hospital_084,1635,S_172,368
88,50576,-37.753619,145.123686,49 Atkinson Street,TEMPLESTOWE,11970000,house,2014,4,2,2,SC_009,3100,19986,4270,40,0,hospital_193,2298,S_046,2379
89,80890,-37.970512,145.206975,17 McNab Court,DANDENONG,8347000,house,2010,3,1,3,SC_112,1977,19889,1601,50,0,hospital_048,556,S_183,1500
90,75701,-37.901857,145.088961,13 Mora Avenue,OAKLEIGH,12480000,house,2011,3,2,2,SC_087,1630,19917,175,33,0,hospital_166,1522,S_167,1630
91,68005,-37.846576,145.014569,26 Sargood Street,TOORAK,7275000,house,2016,3,3,2,SC_038,869,19946,471,20,0,hospital_132,977,S_115,834
92,93017,-38.02148438,145.1065369,23 Glen Street,ASPENDALE,3320000,house,2009,3,2,3,SC_003,5811,19862,745,47,0,hospital_001,4532,S_119,2295
93,37017,-37.637212,145.033128,2 Maserati Drive,EPPING,6688000,house,2010,3,2,2,SC_062,4889,20005,1710,42,0,hospital_053,2170,S_196,2041
94,56077,-37.85684967,145.1309509,1 Winton Street,BURWOOD,4808000,house,2009,3,1,2,SC_067,3797,19875,2065,30,0,hospital_047,1567,S_097,546
95,4516,-37.824904,144.87216,5 Steel Street,SPOTSWOOD,8840000,house,2011,3,1,3,SC_033,2242,19995,1369,18,0,hospital_056,3746,S_056,2544
96,23760,-37.642441,144.905733,7 Brae Court,GREENVALE,7760000,house,2013,4,2,2,SC_072,1723,40220,2657,41,0,hospital_104,1587,S_211,2123
97,69493,-37.865537,145.091004,12 High Street Road,ASHBURTON,8855000,house,2013,3,1,2,SC_042,1315,19848,937,35,0,hospital_098,560,S_112,262
98,1906,-37.81203461,144.8829193,185 Queensville Street,KINGSVILLE,3344000,house,2008,3,1,1,SC_043,2780,19996,749,15,0,hospital_056,2124,S_201,1828
99,81924,-37.991478,145.245057,2/79 Ash Street,DOVETON,3000000,house,2014,3,1,2,SC_077,1552,19888,3104,53,0,hospital_119,2396,S_195,1900
100,38343,-37.77619934,145.0246582,5 Lily Street,FAIRFIELD,14140000,house,2009,3,1,2,SC_001,1767,19931,630,19,0,hospital_029,1477,S_219,1743
101,46563,-37.702847,145.135424,13 Opal Court,ELTHAM NORTH,10960000,house,2013,3,2,2,SC_051,3890,19987,1616,44,0,hospital_075,2616,S_051,1997
102,48804,-37.804218,145.023978,9 Carnsworth Avenue,KEW,11479000,house,2011,4,2,2,SC_083,2077,19905,1962,18,0,hospital_032,781,S_039,634
103,32603,-37.752188,145.008895,32 Carlisle Street,PRESTON,11791000,house,2014,4,1,2,SC_103,1530,20014,963,22,0,hospital_035,1197,S_105,480
104,28868,-37.802638,144.995809,178 Vere Street,ABBOTSFORD,7000000,house,2011,3,1,1,SC_068,2482,19976,277,9,0,hospital_134,1176,S_076,775
105,4244,-37.83641,144.876711,2/71 Oxford Street,NEWPORT,12880000,house,2015,3,2,2,SC_033,2848,19994,927,20,0,hospital_141,3173,S_056,2663
106,45518,-37.682318,145.113993,8 Sugar Gum Boulevard,GREENSBOROUGH,10725000,house,2012,5,3,2,SC_051,4143,19985,2461,37,0,hospital_075,2638,S_051,1950
107,14948,-37.7256813,144.9134979,102 Lebanon Street,STRATHMORE,4410000,house,2009,3,1,1,SC_082,1158,20033,1113,30,0,hospital_184,1993,S_198,1585
108,50762,-37.786703,145.120063,12 Bayley Grove,DONCASTER,21300000,house,2014,4,3,1,SC_091,523,20042,3622,30,0,hospital_194,1548,S_188,348
109,93365,-37.99457169,145.0884857,44 Davey Street,PARKDALE,9030000,house,2009,3,1,0,SC_003,2610,19864,1080,42,0,hospital_001,1442,S_119,1510
110,37981,-37.774523,145.016201,130 Rathmines Street,FAIRFIELD,22080000,house,2016,4,2,1,SC_001,2369,19930,521,17,0,hospital_035,1487,S_219,2352
111,56617,-37.844141,145.106033,35 Uganda Street,BURWOOD,23850000,house,2015,4,2,1,SC_037,3144,19895,2315,30,0,hospital_089,1810,S_097,2672
112,89405,-37.95210648,145.0163727,27 Codrington Street,SANDRINGHAM,23660000,house,2009,3,2,2,SC_079,2193,19948,1055,28,0,hospital_058,1070,S_214,900
113,24907,-37.605652,144.913341,1 Pinehurst Rise,CRAIGIEBURN,4680000,house,2010,3,2,2,SC_016,1423,40221,2678,45,0,hospital_104,5053,S_178,2237
114,64135,-37.803411,145.30051,2a Allaware Avenue,CROYDON,4400000,house,2014,2,1,2,SC_022,1607,19878,1964,50,0,hospital_164,3980,S_224,877
115,38628,-37.76951218,145.0326691,15 Abercorn Avenue,IVANHOE,7020000,house,2009,2,1,2,SC_001,822,19932,793,20,0,hospital_039,704,S_219,809
116,31356,-37.7544632,145.0096588,58 Pender Street,THORNBURY,9192000,house,2009,3,1,1,SC_103,1790,20014,978,22,0,hospital_035,954,S_105,651
117,52309,-37.8243103,145.0131989,14 Bellevue Street,RICHMOND,17120000,house,2009,3,2,0,SC_038,1862,19906,614,12,0,hospital_122,968,S_102,1838
118,2301,-37.789288,144.878387,46 Madden Street,MAIDSTONE,17340000,house,2015,4,2,2,SC_043,1562,20023,1522,19,0,hospital_056,809,S_149,1562
119,83060,-37.890042,145.2432,19 Graham Road,KNOXFIELD,7400000,house,2016,3,2,2,SC_073,5343,19868,4666,55,0,hospital_002,4431,S_027,1367
120,8809,-37.865978,144.766738,119 Railway Avenue,LAVERTON,6320000,house,2012,4,2,2,SC_092,4495,19924,526,31,0,hospital_073,7751,S_007,2106
121,81251,-37.98430252,145.2280579,4 Irene Court,DANDENONG,9360000,house,2007,5,2,2,SC_112,1181,19888,1728,53,0,hospital_119,803,S_184,1058
122,77335,-37.92172623,145.1634369,1 Orion Court,MULGRAVE,2960000,house,2008,3,1,2,SC_073,2622,19914,2855,41,0,hospital_065,3684,S_148,1888
123,32693,-37.73814011,145.027771,38 Jensen Road,PRESTON,5346000,house,2009,3,1,2,SC_047,229,20012,2399,26,0,hospital_090,1902,S_225,1475
124,34709,-37.722487,145.020294,33 Goulburn Avenue,RESERVOIR,7000000,house,2015,3,1,2,SC_047,1994,20010,1327,31,0,hospital_139,2033,S_225,790
125,90028,-37.9582284,145.0452974,14 Munro Avenue,CHELTENHAM,7200000,house,2012,3,2,2,SC_079,1078,19872,1132,39,0,hospital_082,1040,S_023,934
126,12443,-37.701939,144.750028,17 Kalista Avenue,HILLSIDE,5760000,house,2012,3,2,1,SC_048,3534,20000,2129,39,0,hospital_057,8643,S_163,903
127,87987,-37.945071,145.017155,9 Field Street,HAMPTON,18190000,house,2014,3,1,2,SC_046,1961,19948,1251,28,0,hospital_036,1216,S_214,438
128,74026,-37.86500549,145.2588348,8 Sedgwick Crescent,BORONIA,6996000,house,2007,3,1,2,SC_049,5436,19869,2302,53,0,hospital_002,1342,S_024,2293
129,47859,-37.793576,145.024585,13 Hutchinson Drive,KEW,15312000,house,2013,4,2,2,SC_083,3146,19930,1740,17,0,hospital_029,463,S_039,1466
130,61711,-37.790734,145.248453,3 Clipper Court,RINGWOOD,3920000,house,2010,3,1,2,SC_032,2998,19879,2369,46,0,hospital_164,1997,S_157,927
131,64316,-37.803179,145.269397,34-36 Montana Parade,CROYDON,12430000,house,2016,5,3,3,SC_022,1287,19878,1309,50,0,hospital_164,1317,S_182,1167
132,42684,-37.76528,145.064337,9 Warne Street,EAGLEMONT,13300000,house,2014,4,2,3,SC_017,1122,19934,934,24,0,hospital_046,931,S_100,771
133,35443,-37.716278,145.002832,69 Edwardes Street,RESERVOIR,5400000,house,2011,3,1,1,SC_103,2596,20010,373,31,0,hospital_139,444,S_030,2253
134,67930,-37.846399,145.030396,2 Leicester Square,TOORAK,26400000,house,2016,2,2,2,SC_038,2052,19910,772,13,0,hospital_157,1841,S_235,1540
135,64154,-37.804521,145.266434,3 Cecil Circuit,CROYDON,11400000,house,2014,4,2,3,SC_022,1584,19878,1605,50,0,hospital_164,1019,S_157,1288
136,72336,-37.847437,145.262319,36 Orange Grove,BAYSWATER,5000000,house,2010,2,1,1,SC_032,4856,19870,816,50,0,hospital_002,1032,S_139,639
137,83810,-37.858944,145.004023,283 Dandenong Road,PRAHRAN,7335000,house,2011,3,1,1,SC_066,1589,19957,1102,11,0,hospital_063,613,S_115,1218
138,14296,-37.7550208,144.8991344,325 Buckley Street,ABERFELDIE,11760000,house,2010,3,1,2,SC_085,2224,20037,1506,20,0,hospital_184,1509,S_197,1536
139,1590,-37.78881836,144.8685608,1/26 Yardley Street,MAIDSTONE,6000000,house,2008,3,2,2,SC_043,822,20022,1262,21,0,hospital_056,1624,S_149,822
140,58269,-37.829283,145.139798,64 Pakenham Street,BLACKBURN,9490000,house,2012,4,1,2,SC_037,1906,19897,950,35,0,hospital_060,1489,S_018,703
141,69076,-37.8651739,145.0358438,32 Cummins Grove,MALVERN,18460000,house,2011,3,2,2,SC_023,1373,19944,588,19,0,hospital_183,355,S_013,809
142,55325,-37.838971,145.089108,23 Cornell Street,CAMBERWELL,20800000,house,2013,2,1,2,SC_099,3180,19850,1315,31,0,hospital_089,2102,S_160,1652
143,26502,-37.582905,144.922233,31 Hurlingham Way,CRAIGIEBURN,4830000,house,2010,3,2,1,SC_005,941,40221,2809,45,0,hospital_104,7548,S_178,1613
144,92941,-38.014748,145.099553,2/50 Eulinga Avenue,ASPENDALE,6300000,house,2016,3,2,2,SC_003,4942,19863,1384,45,0,hospital_001,3564,S_119,1352
145,87693,-37.931781,144.996657,4 Hardie Street,HAMPTON,14800000,house,2013,4,2,2,SC_046,3759,19949,809,26,0,hospital_036,1338,S_088,773
146,13929,-37.759337,144.910919,17 Locke Street,ESSENDON,24000000,house,2015,4,2,2,SC_085,2464,20037,594,20,0,hospital_128,903,S_025,1315
147,49315,-37.810312,145.079021,27 Power Street,BALWYN,1820000,house,2015,3,2,2,SC_099,2418,19893,1590,28,0,hospital_064,2707,S_136,2108
148,86251,-37.903894,145.000115,18 Rooding Street,BRIGHTON,24600000,house,2016,3,1,2,SC_015,4274,19952,245,19,0,hospital_156,1155,S_151,507
149,94240,-38.07892,145.125756,78 Valetta Street,CARRUM,7748000,house,2011,3,2,2,SC_070,5081,19858,535,55,0,hospital_043,7864,S_077,2869
150,52678,-37.82166672,144.9996033,20/2A Brougham Street,RICHMOND,12800000,house,2009,4,2,2,SC_038,2238,19907,572,6,0,hospital_122,400,S_076,1389
151,45644,-37.676397,145.118792,14 Daviesia Drive,PLENTY,15793000,house,2015,4,3,2,SC_051,3620,19985,3205,37,0,hospital_075,3395,S_051,1779
152,87349,-37.935647,145.011416,13 May Street,HAMPTON,20280000,house,2015,3,2,2,SC_046,2403,19949,911,26,0,hospital_036,1013,S_088,820
153,38037,-37.77146149,145.0214691,17 SPARKS AVENUE,FAIRFIELD,2000000,house,2009,2,2,1,SC_001,1831,19930,948,17,0,hospital_039,1218,S_219,1817
154,6985,-37.78649,144.841577,72 Cornwall Road,SUNSHINE,9555000,house,2013,3,1,0,SC_102,843,20021,798,25,0,hospital_174,1262,S_080,921
155,64756,-37.8093951,145.265085,60 Orchard Drive,CROYDON,5918000,house,2011,4,2,2,SC_022,1955,19879,1341,46,0,hospital_164,854,S_157,1617
156,34769,-37.7107654,145.0114444,35-37 Cheddar Road,RESERVOIR,11570000,house,2010,2,1,2,SC_103,3315,20009,362,32,0,hospital_139,1401,S_225,2190
157,93797,-38.0579834,145.1278839,10 Alleyne Avenue,BONBEACH,4707000,house,2009,4,1,2,SC_070,5872,19859,907,53,0,hospital_096,8100,S_077,1127
158,4803,-37.863188,144.835679,1/9 Scullin Street,ALTONA,8080000,house,2016,3,3,1,SC_033,4180,19926,690,30,0,hospital_141,4912,S_128,732
159,33104,-37.732642,145.007211,7 Arnold Street,PRESTON,11088000,house,2011,3,2,2,SC_103,901,20011,613,28,0,hospital_139,1861,S_085,631
160,9266,-37.854393,144.717899,11 Sonnet Way,TRUGANINA,4695000,house,2014,3,2,1,SC_053,1280,46468,3116,33,0,hospital_073,4225,S_007,2633
161,13932,-37.752848,144.902732,17 McCracken Street,ESSENDON,24000000,house,2015,4,2,2,SC_082,2115,20037,1236,20,0,hospital_184,1192,S_197,1149
162,49123,-37.807001,145.076348,18 Henley Street,BALWYN,19630000,house,2010,3,1,2,SC_099,2514,19893,1993,28,0,hospital_064,2474,S_137,1855
163,12729,-37.71631622,144.771637,23 Ingoldsby Court,DELAHEY,4400000,house,2008,3,2,1,SC_048,3236,20000,1705,39,0,hospital_057,6198,S_094,1611
164,33571,-37.71262,145.015263,104A Royal Parade,RESERVOIR,3933000,house,2013,3,1,1,SC_047,3176,20009,730,32,0,hospital_139,1612,S_225,1810
165,89686,-37.952367,145.019559,80 Sandringham Road,SANDRINGHAM,8775000,house,2010,4,2,2,SC_079,1922,19948,1336,28,0,hospital_058,1020,S_214,806
166,38034,-37.778307,145.022553,17 Langridge Street,FAIRFIELD,6000000,house,2016,3,1,1,SC_001,2050,19930,506,17,0,hospital_029,1247,S_219,2024
167,36042,-37.6794,145.041168,67 Bickley Avenue,THOMASTOWN,2880000,house,2012,3,1,1,SC_062,4978,20007,2371,37,0,hospital_041,2342,S_228,2254
